State,numcol,yieldpercol,totalprod,stocks,priceperlb,prodvalue,year
Tennessee,7000,51,357000,86000,2.37,846000,2009
Texas,89000,63,5607000,1065000,1.39,7794000,2009
Utah,26000,38,988000,198000,1.46,1442000,2009
Vermont,5000,49,245000,69000,2.01,492000,2009
Virginia,6000,39,234000,56000,3.45,807000,2009
Washington,62000,44,2728000,1064000,1.58,4310000,2009
West Virginia,5000,37,185000,33000,2.60,481000,2009
Wisconsin,63000,60,3780000,1588000,1.58,5972000,2009
Wyoming,37000,48,1776000,391000,1.43,2540000,2009
Alabama,9000,54,486000,73000,2.40,1166000,2010
Arizona,24000,77,1848000,665000,1.52,2809000,2010
Arkansas,25000,60,1500000,360000,1.47,2205000,2010
California,410000,67,27470000,6318000,1.55,42579000,2010
Colorado,34000,56,1904000,533000,1.52,2894000,2010
Florida,2.00E+05,69,13800000,1794000,1.56,21528000,2010
Georgia,55000,46,2530000,152000,1.67,4225000,2010
Hawaii,10000,77,770000,239000,2.75,2118000,2010
Idaho,97000,27,2619000,1179000,1.61,4217000,2010
Illinois,9000,41,369000,92000,2.78,1026000,2010
Indiana,10000,43,430000,151000,2.23,959000,2010
Iowa,27000,49,1323000,463000,1.92,2540000,2010
Kansas,9000,52,468000,103000,2.02,945000,2010
Kentucky,5000,67,335000,67000,2.72,911000,2010
Louisiana,36000,80,2880000,288000,1.50,4320000,2010
Maine,5000,41,205000,33000,2.05,420000,2010
Michigan,71000,58,4118000,1524000,1.67,6877000,2010
Minnesota,128000,66,8448000,1774000,1.55,13094000,2010
Mississippi,16000,98,1568000,78000,1.44,2258000,2010
Missouri,11000,52,572000,92000,1.80,1030000,2010
Montana,157000,74,11618000,2905000,1.58,18356000,2010
Nebraska,41000,55,2255000,902000,1.51,3405000,2010
New Jersey,13000,35,455000,73000,1.90,865000,2010
New Mexico,7000,66,462000,157000,1.58,730000,2010
New York,45000,64,2880000,1123000,1.96,5645000,2010
North Carolina,13000,46,598000,144000,2.66,1591000,2010
North Dakota,510000,91,46410000,12995000,1.50,69615000,2010
Ohio,18000,62,1116000,346000,2.28,2544000,2010
Oregon,59000,39,2301000,874000,1.63,3751000,2010
Pennsylvania,30000,37,1110000,377000,2.13,2364000,2010
South Dakota,265000,58,15370000,4765000,1.51,23209000,2010
Tennessee,8000,63,504000,106000,2.50,1260000,2010
Texas,1.00E+05,72,7200000,792000,1.51,10872000,2010
Utah,26000,30,780000,195000,1.53,1193000,2010
Vermont,4000,65,260000,73000,3.10,806000,2010
Virginia,5000,37,185000,37000,3.32,614000,2010
Washington,71000,37,2627000,1077000,1.57,4124000,2010
West Virginia,5000,40,2.00E+05,40000,2.39,478000,2010
Wisconsin,64000,64,4096000,1556000,1.68,6881000,2010
Wyoming,34000,36,1224000,282000,1.59,1946000,2010
Alabama,9000,50,450000,63000,2.51,1130000,2011
Arizona,23000,53,1219000,427000,1.55,1889000,2011
Arkansas,22000,64,1408000,239000,1.62,2281000,2011
California,370000,48,17760000,3730000,1.65,29304000,2011
Colorado,31000,55,1705000,443000,2.00,3410000,2011
Florida,180000,61,10980000,988000,1.68,18446000,2011
Georgia,65000,43,2795000,196000,1.65,4612000,2011
Hawaii,9000,74,666000,246000,3.65,2431000,2011
Idaho,87000,36,3132000,1879000,1.78,5575000,2011
Illinois,7000,50,350000,98000,3.90,1365000,2011
Indiana,8000,51,408000,147000,2.14,873000,2011
Iowa,25000,62,1550000,961000,1.96,3038000,2011
Kansas,7000,44,308000,117000,2.15,662000,2011
Kentucky,4000,39,156000,12000,3.17,495000,2011
Louisiana,36000,77,2772000,471000,1.67,4629000,2011
Maine,4000,30,120000,17000,1.98,238000,2011
Michigan,74000,64,4736000,2084000,1.81,8572000,2011
Minnesota,120000,53,6360000,2099000,1.63,10367000,2011
Mississippi,18000,115,2070000,104000,1.53,3167000,2011
Missouri,8000,43,344000,76000,2.14,736000,2011
Montana,145000,92,13340000,3202000,1.70,22678000,2011
Nebraska,41000,59,2419000,653000,1.75,4233000,2011
New Jersey,11000,41,451000,135000,3.70,1669000,2011
New Mexico,7000,56,392000,153000,1.69,662000,2011
New York,49000,56,2744000,1235000,1.96,5378000,2011
North Carolina,14000,62,868000,95000,2.83,2456000,2011
North Dakota,460000,71,32660000,7512000,1.67,54542000,2011
Ohio,15000,66,990000,228000,2.34,2317000,2011
Oregon,60000,34,2040000,755000,1.68,3427000,2011
Pennsylvania,24000,44,1056000,306000,2.55,2693000,2011
South Dakota,250000,66,16500000,4290000,1.70,28050000,2011
Tennessee,7000,44,308000,68000,2.93,902000,2011
Texas,78000,58,4524000,633000,1.78,8053000,2011
Utah,23000,39,897000,170000,1.75,1570000,2011
Vermont,4000,43,172000,43000,2.31,397000,2011
Virginia,4000,40,160000,21000,4.07,651000,2011
Washington,71000,38,2698000,836000,1.93,5207000,2011
West Virginia,4000,53,212000,45000,2.57,545000,2011
Wisconsin,57000,63,3591000,1508000,1.89,6787000,2011
Wyoming,35000,54,1890000,265000,1.72,3251000,2011
Alabama,8000,54,432000,65000,2.47,1067000,2012
Arizona,22000,46,1012000,253000,1.79,1811000,2012
Arkansas,25000,63,1575000,189000,1.98,3119000,2012
California,330000,35,11550000,3119000,1.94,22407000,2012
Colorado,25000,48,1200000,468000,2.07,2484000,2012
Florida,193000,64,12352000,1235000,1.84,22728000,2012
Georgia,59000,51,3009000,181000,1.92,5777000,2012
Hawaii,10000,75,750000,263000,4.15,3113000,2012
Idaho,92000,32,2944000,530000,1.63,4799000,2012
Illinois,7000,61,427000,145000,3.55,1516000,2012
Indiana,8000,59,472000,203000,2.54,1199000,2012
Iowa,37000,61,2257000,1196000,2.17,4898000,2012
Kansas,6000,55,330000,125000,2.28,752000,2012
Kentucky,5000,51,255000,41000,3.15,803000,2012
Louisiana,41000,86,3526000,141000,1.83,6453000,2012
Maine,4000,34,136000,24000,2.39,325000,2012
Michigan,73000,57,4161000,1332000,2.03,8447000,2012
Minnesota,125000,67,8375000,1591000,1.92,16080000,2012
Mississippi,18000,118,2124000,64000,1.77,3759000,2012
Missouri,7000,53,371000,108000,2.80,1039000,2012
Montana,145000,52,7540000,2413000,1.95,14703000,2012
Nebraska,43000,65,2795000,1146000,1.93,5394000,2012
New Jersey,14000,33,462000,51000,1.97,910000,2012
New Mexico,5000,52,260000,99000,3.39,881000,2012
New York,51000,51,2601000,988000,2.23,5800000,2012
North Carolina,13000,39,507000,106000,3.76,1906000,2012
North Dakota,480000,69,33120000,5962000,1.92,63590000,2012
Ohio,18000,60,1080000,410000,2.46,2657000,2012
Oregon,60000,32,1920000,845000,2.16,4147000,2012
Pennsylvania,16000,60,960000,269000,2.57,2467000,2012
South Dakota,260000,63,16380000,3604000,1.95,31941000,2012
Tennessee,6000,61,366000,59000,2.93,1072000,2012
Texas,92000,52,4784000,718000,2.00,9568000,2012
Utah,25000,38,950000,209000,1.87,1777000,2012
Vermont,4000,60,240000,53000,2.39,574000,2012
Virginia,4000,41,164000,23000,3.77,618000,2012
Washington,62000,41,2542000,1017000,2.38,6050000,2012
West Virginia,6000,48,288000,95000,2.91,838000,2012
Wisconsin,60000,69,4140000,1863000,2.05,8487000,2012
Wyoming,50000,51,2550000,459000,1.87,4769000,2012
Alabama,7000,52,364000,55000,2.85,1037000,2013
Arizona,29000,36,1044000,251000,1.96,2046000,2013
Arkansas,22000,60,1320000,66000,2.02,2666000,2013
California,330000,33,10890000,2505000,2.11,22978000,2013
Colorado,26000,43,1118000,324000,2.10,2348000,2013
Florida,220000,61,13420000,1074000,2.03,27243000,2013
Georgia,67000,50,3350000,637000,2.26,7571000,2013
Hawaii,13000,83,1079000,65000,1.97,2126000,2013
Idaho,83000,32,2656000,1036000,2.02,5365000,2013
Illinois,7000,48,336000,101000,4.19,1408000,2013
Indiana,6000,47,282000,82000,2.77,781000,2013
Iowa,39000,48,1872000,1217000,2.45,4586000,2013
Kansas,6000,46,276000,39000,2.50,690000,2013
Kentucky,3000,41,123000,17000,3.25,4.00E+05,2013
Louisiana,50000,98,4900000,490000,1.89,9261000,2013
Maine,7000,43,301000,27000,3.14,945000,2013
Michigan,85000,55,4675000,982000,2.16,10098000,2013
Minnesota,130000,58,7540000,1282000,1.99,15005000,2013
Mississippi,17000,116,1972000,39000,1.86,3668000,2013
Missouri,10000,47,470000,85000,2.62,1231000,2013
Montana,159000,94,14946000,5231000,2.09,31237000,2013
Nebraska,46000,60,2760000,1628000,2.07,5713000,2013
New Jersey,11000,44,484000,34000,4.19,2028000,2013
New York,55000,48,2640000,1030000,2.12,5597000,2013
North Carolina,10000,38,380000,84000,3.67,1395000,2013
North Dakota,480000,69,33120000,6955000,2.04,67565000,2013
Ohio,17000,45,765000,390000,3.29,2517000,2013
Oregon,62000,35,2170000,456000,2.39,5186000,2013
Pennsylvania,13000,45,585000,257000,3.03,1773000,2013
South Dakota,265000,56,14840000,6381000,2.07,30719000,2013
Tennessee,7000,45,315000,63000,3.55,1118000,2013
Texas,106000,59,6254000,1689000,2.10,13133000,2013
Utah,30000,34,1020000,92000,2.09,2132000,2013
Vermont,3000,51,153000,46000,3.89,595000,2013
Virginia,5000,35,175000,42000,4.50,788000,2013
Washington,69000,39,2691000,1023000,2.30,6189000,2013
West Virginia,6000,46,276000,83000,3.66,1010000,2013
Wisconsin,59000,60,3540000,1558000,2.38,8425000,2013
Wyoming,47000,66,3102000,558000,2.11,6545000,2013
Alabama,7000,53,371000,26000,3.53,1310000,2014
Arizona,26000,39,1014000,193000,1.92,1947000,2014
Arkansas,21000,65,1365000,137000,2.04,2785000,2014
California,320000,39,12480000,2995000,2.06,25709000,2014
Colorado,27000,37,999000,2.00E+05,2.11,2108000,2014
Florida,245000,60,14700000,1029000,2.08,30576000,2014
Georgia,73000,62,4526000,362000,2.19,9912000,2014
Hawaii,15000,93,1395000,140000,2.29,3195000,2014
Idaho,1.00E+05,34,3400000,850000,2.03,6902000,2014
Illinois,8000,49,392000,94000,4.11,1611000,2014
Indiana,5000,62,310000,115000,3.19,989000,2014
Iowa,35000,43,1505000,933000,2.41,3627000,2014
Kansas,7000,75,525000,84000,2.38,1250000,2014
Kentucky,5000,47,235000,56000,3.96,931000,2014
Louisiana,48000,84,4032000,524000,2.18,8790000,2014
Maine,8000,47,376000,41000,4.99,1876000,2014
Michigan,91000,63,5733000,1835000,2.49,14275000,2014
Minnesota,132000,60,7920000,1426000,2.06,16315000,2014
Mississippi,20000,112,2240000,45000,2.01,4502000,2014
Missouri,12000,47,564000,96000,3.63,2047000,2014
Montana,162000,88,14256000,5132000,2.09,29795000,2014
Nebraska,50000,75,3750000,1688000,2.04,7650000,2014
New Jersey,12000,30,360000,119000,3.13,1127000,2014
New York,60000,55,3300000,1518000,2.83,9339000,2014
North Carolina,12000,43,516000,88000,3.49,1801000,2014
North Dakota,490000,86,42140000,9271000,1.99,83859000,2014
Ohio,15000,61,915000,256000,3.58,3276000,2014
Oregon,71000,40,2840000,767000,2.20,6248000,2014
Pennsylvania,17000,46,782000,203000,2.91,2276000,2014
South Carolina,9000,54,486000,19000,3.97,1929000,2014
South Dakota,280000,87,24360000,5846000,2.08,50669000,2014
Tennessee,7000,63,441000,88000,3.76,1658000,2014
Texas,116000,78,9048000,2081000,2.24,20268000,2014
Utah,29000,28,812000,130000,2.13,1730000,2014
Vermont,3000,58,174000,61000,4.89,851000,2014
Virginia,6000,41,246000,57000,4.68,1151000,2014
Washington,68000,44,2992000,1167000,2.61,7809000,2014
West Virginia,6000,31,186000,33000,4.07,757000,2014
Wisconsin,53000,54,2862000,1030000,2.38,6812000,2014
Wyoming,38000,61,2318000,255000,2.08,4821000,2014
Alabama,7000,47,329000,13000,3.83,1260000,2015
Arizona,26000,49,1274000,306000,2.03,2586000,2015
Arkansas,24000,72,1728000,121000,2.06,3560000,2015
California,275000,30,8250000,1485000,2.03,16748000,2015
Colorado,29000,51,1479000,399000,2.26,3343000,2015
Florida,220000,54,11880000,832000,1.97,23404000,2015
Georgia,69000,40,2760000,221000,2.43,6707000,2015
Hawaii,14000,102,1428000,71000,1.91,2727000,2015
Idaho,89000,32,2848000,1082000,1.93,5497000,2015
Illinois,8000,51,408000,155000,4.66,1901000,2015
Indiana,6000,53,318000,165000,3.23,1027000,2015
Iowa,36000,50,1800000,990000,2.20,3960000,2015
Kansas,8000,36,288000,107000,3.50,1008000,2015
Kentucky,5000,46,230000,55000,4.04,929000,2015
Louisiana,44000,99,4356000,348000,1.95,8494000,2015
Maine,10000,47,470000,47000,5.43,2552000,2015
Michigan,90000,58,5220000,1984000,2.44,12737000,2015
Minnesota,122000,68,8296000,2157000,1.84,15265000,2015
Mississippi,15000,83,1245000,87000,2.40,2988000,2015
Missouri,10000,52,520000,52000,3.55,1846000,2015
Montana,146000,83,12118000,3757000,1.94,23509000,2015
Nebraska,57000,48,2736000,1450000,2.04,5581000,2015
New Jersey,12000,27,324000,207000,4.20,1361000,2015
New York,58000,62,3596000,899000,2.94,10572000,2015
North Carolina,12000,45,540000,103000,4.51,2435000,2015
North Dakota,490000,74,36260000,9428000,1.80,65268000,2015
Ohio,17000,50,850000,357000,3.60,3060000,2015
Oregon,71000,38,2698000,809000,2.43,6556000,2015
Pennsylvania,17000,53,901000,225000,3.62,3262000,2015
South Carolina,14000,67,938000,38000,4.10,3846000,2015
South Dakota,290000,66,19140000,9379000,1.79,34261000,2015
Tennessee,7000,59,413000,78000,4.04,1669000,2015
Texas,126000,66,8316000,1164000,2.10,17464000,2015
Utah,27000,42,1134000,147000,1.92,2177000,2015
Vermont,5000,52,260000,62000,4.23,1100000,2015
Virginia,6000,38,228000,50000,5.53,1261000,2015
Washington,73000,44,3212000,1221000,1.80,5782000,2015
West Virginia,5000,35,175000,32000,4.44,777000,2015
Wisconsin,52000,67,3484000,1603000,2.43,8466000,2015
Wyoming,38000,77,2926000,146000,1.90,5559000,2015
Alabama,7000,52,364000,33000,3.37,1227000,2016
Arizona,27000,46,1242000,261000,1.99,2472000,2016
Arkansas,24000,69,1656000,99000,1.84,3047000,2016
California,310000,36,11160000,2009000,2.00,22320000,2016
Colorado,32000,40,1280000,282000,2.17,2778000,2016
Florida,215000,50,10750000,538000,2.44,26230000,2016
Georgia,96000,39,3744000,899000,2.69,10071000,2016
Hawaii,16000,113,1808000,127000,2.31,4176000,2016
Idaho,97000,34,3298000,1253000,1.72,5673000,2016
Illinois,10000,48,480000,77000,5.39,2587000,2016
Indiana,7000,62,434000,208000,3.36,1458000,2016
Iowa,37000,48,1776000,746000,2.07,3676000,2016
Kansas,7000,48,336000,54000,2.97,998000,2016
Kentucky,5000,46,230000,48000,4.02,925000,2016
Louisiana,50000,86,4300000,301000,1.93,8299000,2016
Maine,12000,34,408000,65000,3.21,1310000,2016
Michigan,89000,60,5340000,1709000,2.25,12015000,2016
Minnesota,124000,59,7316000,1390000,1.64,11998000,2016
Mississippi,19000,85,1615000,113000,1.74,2810000,2016
Missouri,8000,62,496000,30000,2.18,1081000,2016
Montana,159000,77,12243000,3183000,1.75,21425000,2016
Nebraska,48000,46,2208000,640000,1.88,4151000,2016
New Jersey,12000,27,324000,198000,6.69,2168000,2016
New York,64000,57,3648000,1167000,3.20,11674000,2016
North Carolina,12000,37,444000,89000,4.61,2047000,2016
North Dakota,485000,78,37830000,6809000,1.73,65446000,2016
Ohio,15000,79,1185000,664000,3.84,4550000,2016
Oregon,74000,35,2590000,622000,2.06,5335000,2016
Pennsylvania,19000,50,950000,266000,3.15,2993000,2016
South Carolina,16000,45,720000,36000,4.50,3240000,2016
South Dakota,280000,71,19880000,12127000,1.74,34591000,2016
Tennessee,6000,55,330000,69000,4.78,1577000,2016
Texas,133000,70,9310000,2607000,1.96,18248000,2016
Utah,31000,32,992000,169000,1.91,1895000,2016
Vermont,6000,52,312000,69000,2.82,880000,2016
Virginia,5000,38,190000,30000,5.82,1106000,2016
Washington,84000,35,2940000,412000,1.88,5527000,2016
West Virginia,5000,32,160000,43000,3.73,597000,2016
Wisconsin,54000,62,3348000,1205000,2.44,8169000,2016
Wyoming,40000,68,2720000,190000,1.76,4787000,2016
Alabama,7000,45,315000,22000,2.77,873000,2017
Arizona,22000,40,880000,97000,1.96,1725000,2017
Arkansas,29000,77,2233000,223000,1.91,4265000,2017
California,335000,41,13735000,2198000,2.09,28706000,2017
Colorado,33000,43,1419000,284000,2.06,2923000,2017
Florida,205000,43,8815000,529000,2.40,21156000,2017
Georgia,99000,32,3168000,190000,2.96,9377000,2017
Hawaii,12000,131,1572000,16000,1.51,2374000,2017
Idaho,95000,44,4180000,1045000,1.79,7482000,2017
Illinois,11000,46,506000,167000,4.76,2409000,2017
Indiana,7000,48,336000,128000,3.94,1324000,2017
Iowa,35000,58,2030000,1035000,2.22,4507000,2017
Kansas,7000,79,553000,260000,4.18,2312000,2017
Kentucky,5000,38,190000,42000,4.08,775000,2017
Louisiana,43000,81,3483000,279000,1.88,6548000,2017
Maine,12000,33,396000,51000,5.45,2158000,2017
Michigan,87000,45,3915000,822000,2.41,9435000,2017
Minnesota,126000,62,7812000,1016000,1.86,14530000,2017
Mississippi,13000,80,1040000,83000,1.81,1882000,2017
Missouri,8000,65,520000,57000,3.53,1836000,2017
Montana,145000,72,10440000,2506000,2.30,24012000,2017
Nebraska,42000,63,2646000,423000,1.99,5266000,2017
New Jersey,13000,28,364000,167000,7.86,2861000,2017
New York,57000,56,3192000,766000,3.01,9608000,2017
North Carolina,11000,41,451000,99000,4.34,1957000,2017
North Dakota,455000,74,33670000,4377000,1.89,63636000,2017
Ohio,15000,73,1095000,657000,3.12,3416000,2017
Oregon,78000,40,3120000,998000,1.89,5897000,2017
Pennsylvania,16000,46,736000,177000,3.40,2502000,2017
South Carolina,16000,34,544000,27000,3.06,1665000,2017
South Dakota,255000,57,14535000,6541000,1.91,27762000,2017
Tennessee,7000,41,287000,75000,4.68,1343000,2017
Texas,120000,66,7920000,2297000,2.11,16711000,2017
Utah,27000,31,837000,67000,2.06,1724000,2017
Vermont,7000,45,315000,120000,4.17,1314000,2017
Virginia,5000,35,175000,39000,5.73,1003000,2017
Washington,77000,45,3465000,1594000,2.25,7796000,2017
West Virginia,6000,40,240000,50000,3.85,924000,2017
Wisconsin,53000,56,2968000,683000,2.77,8221000,2017
Wyoming,39000,53,2067000,186000,1.59,3287000,2017
Alabama,6000,45,270000,14000,3.57,964000,2018
Arizona,24000,38,912000,109000,2.82,2572000,2018
Arkansas,28000,50,1400000,84000,1.87,2618000,2018
California,335000,41,13735000,3022000,2.06,28294000,2018
Colorado,31000,48,1488000,283000,2.02,3006000,2018
Florida,215000,49,10535000,737000,2.40,25284000,2018
Georgia,98000,34,3332000,200000,2.79,9296000,2018
Hawaii,17000,3,1751000,18000,1.83,3204000,2018
Idaho,96000,31,2976000,655000,1.96,5833000,2018
Illinois,11000,41,451000,108000,5.01,2260000,2018
Indiana,7000,46,322000,106000,3.75,1208000,2018
Iowa,38000,49,1862000,1005000,2.35,4376000,2018
Kansas,5000,73,365000,95000,3.00,1095000,2018
Kentucky,4000,41,164000,34000,5.42,889000,2018
Louisiana,45000,83,3735000,261000,1.90,7097000,2018
Maine,12000,32,384000,92000,2.68,1029000,2018
Michigan,92000,44,4048000,729000,2.37,9594000,2018
Minnesota,119000,61,7259000,1161000,1.88,13647000,2018
Mississippi,20000,87,1740000,70000,2.05,3567000,2018
Missouri,9000,45,405000,36000,2.58,1045000,2018
Montana,160000,92,14720000,3680000,1.92,28262000,2018
Nebraska,40000,59,2360000,850000,1.99,4696000,2018
New Jersey,13000,31,403000,165000,7.35,2962000,2018
New York,56000,48,2688000,833000,3.34,8978000,2018
North Carolina,10000,33,330000,63000,5.55,1832000,2018
North Dakota,530000,72,38160000,4579000,1.88,71741000,2018
Ohio,14000,73,1022000,491000,3.61,3689000,2018
Oregon,93000,35,3255000,1009000,2.22,7226000,2018
Pennsylvania,19000,44,836000,309000,3.73,3118000,2018
South Carolina,16000,48,768000,15000,3.04,2335000,2018
South Dakota,255000,47,11985000,5154000,1.98,23730000,2018
Tennessee,7000,46,322000,84000,3.99,1285000,2018
Texas,132000,56,7392000,1035000,2.06,15228000,2018
Utah,26000,41,1066000,75000,2.09,2228000,2018
Vermont,7000,48,336000,94000,3.66,1230000,2018
Virginia,4000,40,160000,35000,6.83,1093000,2018
Washington,77000,43,3311000,563000,2.11,6986000,2018
West Virginia,6000,37,222000,38000,4.16,924000,2018
Wisconsin,51000,45,2295000,711000,2.76,6334000,2018
Wyoming,39000,56,2184000,175000,1.89,4128000,2018
Alabama,7000,42,294000,44000,3.20,941000,2019
Arizona,23000,46,1058000,201000,1.97,2084000,2019
Arkansas,20000,55,1100000,176000,1.53,1683000,2019
California,335000,48,16080000,3216000,1.56,25085000,2019
Colorado,32000,46,1472000,500000,2.14,3150000,2019
Florida,205000,45,9225000,830000,2.48,22878000,2019
Georgia,102000,33,3366000,370000,2.61,8785000,2019
Hawaii,16000,80,1280000,51000,1.28,1638000,2019
Idaho,92000,32,2944000,677000,1.67,4916000,2019
Illinois,11000,39,429000,116000,4.31,1849000,2019
Indiana,9000,55,495000,198000,3.95,1955000,2019
Iowa,38000,55,2090000,1170000,2.24,4682000,2019
Kansas,7000,79,553000,171000,2.95,1631000,2019
Kentucky,6000,41,246000,44000,4.50,1107000,2019
Louisiana,54000,72,3888000,428000,2.04,7932000,2019
Maine,15000,35,525000,110000,2.92,1533000,2019
Michigan,94000,50,4700000,1363000,2.36,11092000,2019
Minnesota,118000,59,6962000,3063000,1.63,11348000,2019
Mississippi,22000,80,1760000,141000,1.85,3256000,2019
Missouri,10000,43,430000,73000,3.32,1428000,2019
Montana,173000,86,14878000,5802000,1.48,22019000,2019
Nebraska,39000,52,2028000,223000,1.46,2961000,2019
New Jersey,15000,28,420000,155000,3.33,1399000,2019
New York,59000,58,3422000,1027000,4.49,15365000,2019
North Carolina,14000,42,588000,118000,4.06,2387000,2019
North Dakota,520000,65,33800000,6422000,1.40,47320000,2019
Ohio,15000,67,1005000,442000,3.42,3437000,2019
Oregon,87000,32,2784000,1141000,2.07,5763000,2019
Pennsylvania,19000,50,950000,409000,4.24,4028000,2019
South Carolina,16000,47,752000,45000,5.01,3768000,2019
South Dakota,270000,72,19440000,7582000,1.53,29743000,2019
Tennessee,8000,57,456000,91000,4.65,2120000,2019
Texas,126000,60,7560000,1814000,2.30,17388000,2019
Utah,22000,29,638000,89000,2.06,1314000,2019
Vermont,6000,48,288000,84000,4.34,1250000,2019
Virginia,5000,39,195000,49000,7.51,1464000,2019
Washington,81000,35,2835000,1191000,2.12,6010000,2019
West Virginia,6000,37,222000,47000,4.50,999000,2019
Wisconsin,46000,47,2162000,692000,2.99,6464000,2019
Wyoming,39000,56,2184000,306000,1.35,2948000,2019
Alabama,7000,39,273000,66000,5.43,1482000,2020
Arizona,25000,36,900000,360000,2.18,1962000,2020
Arkansas,20000,49,980000,176000,1.80,1764000,2020
California,320000,43,13760000,2752000,1.78,24493000,2020
Colorado,30000,41,1230000,455000,2.09,2571000,2020
Florida,192000,46,8832000,883000,2.28,20137000,2020
Georgia,101000,34,3434000,412000,2.36,8104000,2020
Hawaii,15000,105,1575000,79000,1.61,2536000,2020
Idaho,107000,35,3745000,637000,1.75,6554000,2020
Illinois,10000,52,520000,156000,5.56,2891000,2020
Indiana,9000,55,495000,149000,4.14,2049000,2020
Iowa,35000,58,2030000,1259000,2.59,5258000,2020
Kansas,8000,62,496000,164000,2.93,1453000,2020
Kentucky,7000,33,231000,58000,6.25,1444000,2020
Louisiana,33000,69,2277000,228000,2.42,5510000,2020
Maine,10000,30,300000,78000,3.26,978000,2020
Michigan,95000,47,4465000,1384000,2.70,12056000,2020
Minnesota,108000,55,5940000,2495000,1.75,10395000,2020
Mississippi,25000,73,1825000,146000,1.94,3541000,2020
Missouri,9000,41,369000,100000,3.31,1221000,2020
Montana,110000,81,8910000,3208000,1.57,13989000,2020
Nebraska,37000,52,1924000,250000,1.71,3290000,2020
New Jersey,14000,31,434000,91000,7.99,3468000,2020
New York,58000,56,3248000,844000,3.39,11011000,2020
North Carolina,12000,38,456000,123000,5.13,2339000,2020
North Dakota,495000,78,38610000,8108000,1.60,61776000,2020
Ohio,16000,75,1200000,576000,3.85,4620000,2020
Oregon,95000,29,2755000,1102000,2.47,6805000,2020
Pennsylvania,19000,48,912000,392000,4.74,4323000,2020
South Carolina,16000,46,736000,66000,3.28,2414000,2020
South Dakota,245000,61,14945000,8668000,1.60,23912000,2020
Tennessee,7000,51,357000,54000,4.39,1567000,2020
Texas,157000,57,8949000,1253000,1.90,17003000,2020
Utah,28000,34,952000,171000,2.07,1971000,2020
Vermont,6000,47,282000,96000,3.76,1060000,2020
Virginia,5000,40,200000,54000,5.44,1088000,2020
Washington,98000,37,3626000,798000,2.54,9210000,2020
West Virginia,6000,46,276000,58000,3.89,1074000,2020
Wisconsin,45000,50,2250000,855000,3.26,7335000,2020
Wyoming,38000,40,1520000,608000,1.66,2523000,2020
Alabama,8000,40,320000,112000,5.99,1917000,2021
Arizona,26000,40,1040000,368000,2.34,2434000,2021
Arkansas,17000,50,850000,255000,2.07,1760000,2021
California,290000,33,9570000,1627000,2.40,22968000,2021
Colorado,29000,40,1160000,232000,2.78,3225000,2021
Florida,193000,44,8492000,849000,2.42,20551000,2021
Georgia,96000,34,3264000,261000,2.73,8911000,2021
Hawaii,15000,93,1395000,56000,2.21,3083000,2021
Idaho,100000,30,3000000,270000,2.37,7110000,2021
Illinois,10000,46,460000,115000,5.83,2682000,2021
Indiana,10000,52,520000,177000,3.89,2023000,2021
Iowa,38000,55,2090000,502000,2.46,5141000,2021
Kansas,7000,42,294000,144000,2.74,806000,2021
Kentucky,7000,37,259000,73000,4.60,1191000,2021
Louisiana,37000,58,2146000,205000,2.50,5365000,2021
Maine,11000,34,374000,60000,3.18,1189000,2021
Michigan,101000,51,5151000,1957000,2.97,15298000,2021
Minnesota,125000,57,7125000,285000,2.32,16530000,2021
Mississippi,25000,71,1775000,71000,2.77,4917000,2021
Missouri,8000,35,280000,92000,3.99,1117000,2021
Montana,117000,57,6669000,1934000,2.17,14472000,2021
Nebraska,39000,47,1833000,550000,2.17,3978000,2021
New Jersey,15000,35,525000,158000,3.27,1717000,2021
New York,57000,53,3021000,665000,4.15,12537000,2021
North Carolina,13000,39,507000,104000,6.84,3468000,2021
North Dakota,515000,55,28325000,2266000,2.19,62032000,2021
Ohio,16000,64,1024000,389000,3.70,3789000,2021
Oregon,86000,31,2666000,693000,2.14,5705000,2021
Pennsylvania,20000,42,840000,336000,3.40,2856000,2021
South Carolina,16000,42,672000,67000,5.32,3575000,2021
South Dakota,250000,49,12250000,5268000,2.27,27808000,2021
Tennessee,8000,56,448000,81000,5.00,2240000,2021
Texas,137000,56,7672000,384000,2.30,17646000,2021
Utah,31000,33,1023000,92000,2.18,2230000,2021
Vermont,7000,47,329000,76000,3.28,1079000,2021
Virginia,6000,40,240000,79000,8.23,1975000,2021
Washington,96000,32,3072000,1206000,2.52,7741000,2021
West Virginia,6000,43,258000,136000,4.80,1238000,2021
Wisconsin,42000,47,1974000,750000,2.81,5547000,2021
Wyoming,38000,58,2204000,242000,2.07,4562000,2021
